month_of_implementation,donor,reporting_organization_type,implementing_partner_type,state_region,township,village_tract_town,village_ward,idp_camp_site_name,specify_location_if_the_the_location_is_not_in_the_list,location_combined,location_type,rural_or_urban,humanitarian_or_development,response_plan_if_project_under_fts,project_code,fsc_main_activity,activity_description,was_nutrition_mainstreamed_in_activity,fsc_objectives,hrp_indicator,activity_status,conditionality,frequency,delivery_modality,type_of_in_kind_assistance,unit,quantity,total_value,value_per_household,value_per_individual,currency,value_per_household_usd,cash_delivery_mechanism,food_insecurity_status,food_security_indicator_used,evidence,beneficiary_type,number_child_male,number_child_female,number_adult_male,number_adult_female,number_elderly_male,number_elderly_female,number_of_reached_households,number_of_reached_beneficiaries,new_beneficiaries,people_with_disability_male,people_with_disability_female,total_number_of_people_with_disability,comments,cluster_name,country,admin1_pcode,admin2_pcode,admin3_pcode,adm1_3,adm3_4,org_code,report_org_code
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Taung Shey,Lel Pyin Kyay,NA,NA,Taung SheyLel Pyin Kyaylivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Taung Shey,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Thein Kone,Thein Kone,NA,NA,Thein KoneThein Konelivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Thein Kone,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Yae Hpyu,Yae Hpyu (Ah Lel Su),NA,NA,Yae HpyuYae Hpyu (Ah Lel Su)livelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Yae Hpyu,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Yae Hpyu,Yae Hpyu (Ah Nauk Su),NA,NA,Yae HpyuYae Hpyu (Ah Nauk Su)livelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Yae Hpyu,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Ah Lel Chaung,Ah Lel Chaung,NA,NA,Ah Lel ChaungAh Lel Chaunglivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Ah Lel Chaung,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Myaing,Myaing,NA,NA,MyaingMyainglivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Myaing,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Nyaung Aing,Nyaung Aing,NA,NA,Nyaung AingNyaung Ainglivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Nyaung Aing,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Sat Chan,Hsat Chan,NA,NA,Sat ChanHsat Chanlivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Sat Chan,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Sin Ghaung,Kaing Su,NA,NA,Sin GhaungKaing Sulivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Sin Ghaung,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Sin Ghaung,Lay,NA,NA,Sin GhaungLaylivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Sin Ghaung,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Sin Ghaung,Pyay Thar,NA,NA,Sin GhaungPyay Tharlivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Sin Ghaung,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Ya Gyi,Ya Gyi,NA,NA,Ya GyiYa Gyilivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Promotion of female entrepreneurship (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,NA,25,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Ya Gyi,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Taung Shey,Lel Pyin Kyay,NA,NA,Taung SheyLel Pyin Kyaylivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,23,2,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Taung Shey,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Thein Kone,Thein Kone,NA,NA,Thein KoneThein Konelivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,19,6,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Thein Kone,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Yae Hpyu,Yae Hpyu (Ah Lel Su),NA,NA,Yae HpyuYae Hpyu (Ah Lel Su)livelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,15,10,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Yae Hpyu,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Yae Hpyu,Yae Hpyu (Ah Nauk Su),NA,NA,Yae HpyuYae Hpyu (Ah Nauk Su)livelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,15,10,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Yae Hpyu,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Ah Lel Chaung,Ah Lel Chaung,NA,NA,Ah Lel ChaungAh Lel Chaunglivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,18,7,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Ah Lel Chaung,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Myaing,Myaing,NA,NA,MyaingMyainglivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,18,7,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Myaing,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Nyaung Aing,Nyaung Aing,NA,NA,Nyaung AingNyaung Ainglivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,16,9,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Nyaung Aing,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Sat Chan,Hsat Chan,NA,NA,Sat ChanHsat Chanlivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,19,6,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Sat Chan,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Sin Ghaung,Kaing Su,NA,NA,Sin GhaungKaing Sulivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,16,9,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Sin Ghaung,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Sin Ghaung,Lay,NA,NA,Sin GhaungLaylivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,17,8,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Sin Ghaung,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Sin Ghaung,Pyay Thar,NA,NA,Sin GhaungPyay Tharlivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,17,8,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Sin Ghaung,org_2461,org_1538
February 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Ywangan,Ya Gyi,Ya Gyi,NA,NA,Ya GyiYa Gyilivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-1),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,13,12,NA,NA,25,25,25,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014007,Shan (South)-Ywangan,Ywangan-Ya Gyi,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Taung Shey,Lel Pyin Kyay,NA,NA,Taung SheyLel Pyin Kyaylivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,23,2,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Taung Shey,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Thein Kone,Thein Kone,NA,NA,Thein KoneThein Konelivelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,19,6,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Thein Kone,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Yae Hpyu,Yae Hpyu (Ah Lel Su),NA,NA,Yae HpyuYae Hpyu (Ah Lel Su)livelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,15,10,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Yae Hpyu,org_2461,org_1538
March 2022,ITALIAN INSTITUTIONAL DONORS Provincia di Bolzano,INGO,NNGO,Shan (South),Pindaya,Yae Hpyu,Yae Hpyu (Ah Nauk Su),NA,NA,Yae HpyuYae Hpyu (Ah Nauk Su)livelihoods vocational training,Village,Rural,Development,Non-HRP,NA,livelihoods vocational training,Business management (Module-2),No,"Objective 3: Restore, protect and improve livelihoods and resilience of over 850,000 crisis-affected people (442,000 women and 408,000 men) by rehabilitating agricultural production, protecting productive assets, and rebuilding or creating income-generating activities to prevent negative (and potentially irreversible) coping mechanisms.","Number of vulnerable, non-displaced stateless and returned/resettled/locally integrated people reached with food, nutrition livelihoods interventions",Ongoing,Unconditional,Monthly,Service delivery/support,NA,Trainings,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host/local Community,NA,NA,15,10,NA,NA,25,25,0,NA,NA,NA,Ips with DNAO,NA,NA,MMR014,NA,MMR014006,Shan (South)-Pindaya,Pindaya-Yae Hpyu,org_2461,org_1538
